p,rss,rsq,adjr2,cp,bic,(Intercept),is30dayreadmit1,evisit,age,genderMale,maritalstatusNot Married,insurancetypeMedicare,insurancetypePrivate,heartrate_transformed,respirationrate_transformed,mean_arterial_pressure,raceAsian,raceNative Amer/Alaskan,raceNatv Hawaii/Pacf Isl,raceOther/Multiracial,raceWhite,cindexmoderate,cindexnormal,cindexsevere,temperature_catlow,temperature_catnormal
2,1981.0106,0.0742,0.0735,234.7265,-185.8736,1,0,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0
3,1928.1559,0.0989,0.0979,158.0792,-251.4956,1,0,1,1,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,0
4,1897.5821,0.1132,0.1119,114.5856,-287.0469,1,0,1,1,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,0,0,0,0,0
5,1869.4346,0.1263,0.1247,74.7023,-319.773,1,0,1,1,0,0,0,0,1,1,1,NA,NA,NA,NA,NA,0,0,0,0,0
6,1855.9288,0.1326,0.1307,56.6059,-331.5797,1,0,1,1,0,0,0,0,1,1,1,NA,NA,NA,NA,NA,0,0,1,0,0
7,1843.8102,0.1383,0.1361,40.5735,-341.484,1,0,1,1,0,0,0,0,1,1,1,NA,NA,NA,NA,NA,0,0,1,0,1
8,1833.9674,0.1429,0.1404,27.9274,-348.1298,1,1,1,1,0,0,0,0,1,1,1,NA,NA,NA,NA,NA,0,0,1,0,1
9,1827.4871,0.1459,0.1431,20.2849,-349.8463,1,1,1,1,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,0,0,1,0,1
10,1823.8544,0.1476,0.1445,16.8795,-347.3485,1,1,1,1,0,0,1,1,1,1,1,NA,NA,NA,NA,NA,0,0,1,0,1
11,1820.8387,0.149,0.1456,14.3921,-343.94,1,1,1,1,0,1,1,1,1,1,1,NA,NA,NA,NA,NA,0,0,1,0,1
12,1818.7452,0.15,0.1463,13.277,-339.16,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,0,0,1,0,1
13,1817.1499,0.1508,0.1467,12.9032,-333.638,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,0,1,0,1
14,1816.5678,0.151,0.1466,14.037,-326.6011,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,0,1,1,1
15,1816.5429,0.1511,0.1463,16,-318.7303,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1
